Content,cleaned_content,label,label_name
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,authentication failure logname uid euid tty nodevssh ruser rhost ip_addr,1,Anomaly
check pass; user unknown,check pass user unknown,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,authentication failure logname uid euid tty nodevssh ruser rhost ip_addr,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,authentication failure logname uid euid tty nodevssh ruser rhost hostnamehostname net user root,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,authentication failure logname uid euid tty nodevssh ruser rhost hostnamehostname net user root,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,authentication failure logname uid euid tty nodevssh ruser rhost hostnamehostname net user root,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,authentication failure logname uid euid tty nodevssh ruser rhost hostnamehostname net user root,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,authentication failure logname uid euid tty nodevssh ruser rhost hostnamehostname net user root,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,authentication failure logname uid euid tty nodevssh ruser rhost hostnamehostname net user root,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,authentication failure logname uid euid tty nodevssh ruser rhost hostnamehostname net user root,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,authentication failure logname uid euid tty nodevssh ruser rhost hostnamehostname net user root,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,authentication failure logname uid euid tty nodevssh ruser rhost hostnamehostname net user root,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,authentication failure logname uid euid tty nodevssh ruser rhost hostnamehostname net user root,1,Anomaly
session opened for user cyrus by (uid=0),session opened for user cyrus by uid,0,Normal
session closed for user cyrus,session closed for user cyrus,0,Normal
ALERT exited abnormally with [1],alert exited abnormally with,0,Normal
session opened for user news by (uid=0),session opened for user news by uid,0,Normal
session closed for user news,session closed for user news,0,Normal
check pass; user unknown,check pass user unknown,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,authentication failure logname uid euid tty nodevssh ruser rhost ip_addr,1,Anomaly
check pass; user unknown,check pass user unknown,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,authentication failure logname uid euid tty nodevssh ruser rhost ip_addr,1,Anomaly
check pass; user unknown,check pass user unknown,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,authentication failure logname uid euid tty nodevssh ruser rhost ip_addr,1,Anomaly
check pass; user unknown,check pass user unknown,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,authentication failure logname uid euid tty nodevssh ruser rhost ip_addr,1,Anomaly
check pass; user unknown,check pass user unknown,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,authentication failure logname uid euid tty nodevssh ruser rhost ip_addr,1,Anomaly
check pass; user unknown,check pass user unknown,1,Anomaly
check pass; user unknown,check pass user unknown,1,Anomaly
check pass; user unknown,check pass user unknown,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,authentication failure logname uid euid tty nodevssh ruser rhost ip_addr,1,Anomaly
check pass; user unknown,check pass user unknown,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,authentication failure logname uid euid tty nodevssh ruser rhost ip_addr,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,authentication failure logname uid euid tty nodevssh ruser rhost ip_addr,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,authentication failure logname uid euid tty nodevssh ruser rhost ip_addr,1,Anomaly
check pass; user unknown,check pass user unknown,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,authentication failure logname uid euid tty nodevssh ruser rhost ip_addr,1,Anomaly
check pass; user unknown,check pass user unknown,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,authentication failure logname uid euid tty nodevssh ruser rhost ip_addr,1,Anomaly
check pass; user unknown,check pass user unknown,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,authentication failure logname uid euid tty nodevssh ruser rhost ip_addr,1,Anomaly
check pass; user unknown,check pass user unknown,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,authentication failure logname uid euid tty nodevssh ruser rhost hostname com,1,Anomaly
check pass; user unknown,check pass user unknown,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,authentication failure logname uid euid tty nodevssh ruser rhost hostname com,1,Anomaly
check pass; user unknown,check pass user unknown,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,authentication failure logname uid euid tty nodevssh ruser rhost hostname com,1,Anomaly
check pass; user unknown,check pass user unknown,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,authentication failure logname uid euid tty nodevssh ruser rhost hostname com,1,Anomaly
check pass; user unknown,check pass user unknown,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,authentication failure logname uid euid tty nodevssh ruser rhost hostname com,1,Anomaly
check pass; user unknown,check pass user unknown,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,authentication failure logname uid euid tty nodevssh ruser rhost hostname com,1,Anomaly
check pass; user unknown,check pass user unknown,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,authentication failure logname uid euid tty nodevssh ruser rhost hostname com,1,Anomaly
check pass; user unknown,check pass user unknown,1,Anomaly
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,authentication failure logname uid euid tty nodevssh ruser rhost hostname com,1,Anomaly
check pass; user unknown,check pass user unknown,1,Anomaly
