Content,cleaned_content,EventId,EventTemplate,source,label,label_name
PacketResponder 1 for block blk_38865049064139660 terminating,packetresponder for block block_id terminating,E10,PacketResponder <*> for block blk_<*> terminating,HDFS,0,Normal
PacketResponder 0 for block blk_-6952295868487656571 terminating,packetresponder for block block_id terminating,E10,PacketResponder <*> for block blk_<*> terminating,HDFS,0,Normal
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.73.220:50010 is added to blk_7128370237687728475 size 67108864,block hostname blockmap updated ip_addr num is added to block_id size num,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HDFS,0,Normal
PacketResponder 2 for block blk_8229193803249955061 terminating,packetresponder for block block_id terminating,E10,PacketResponder <*> for block blk_<*> terminating,HDFS,0,Normal
PacketResponder 2 for block blk_-6670958622368987959 terminating,packetresponder for block block_id terminating,E10,PacketResponder <*> for block blk_<*> terminating,HDFS,0,Normal
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.43.115:50010 is added to blk_3050920587428079149 size 67108864,block hostname blockmap updated ip_addr num is added to block_id size num,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HDFS,0,Normal
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.203.80:50010 is added to blk_7888946331804732825 size 67108864,block hostname blockmap updated ip_addr num is added to block_id size num,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HDFS,0,Normal
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.11.85:50010 is added to blk_2377150260128098806 size 67108864,block hostname blockmap updated ip_addr num is added to block_id size num,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HDFS,0,Normal
PacketResponder 2 for block blk_572492839287299681 terminating,packetresponder for block block_id terminating,E10,PacketResponder <*> for block blk_<*> terminating,HDFS,0,Normal
Received block blk_3587508140051953248 of size 67108864 from /10.251.42.84,received block block_id of size num from ip_addr,E11,Received block blk_<*> of size <*> from /<*>,HDFS,0,Normal
Received block blk_5402003568334525940 of size 67108864 from /10.251.214.112,received block block_id of size num from ip_addr,E11,Received block blk_<*> of size <*> from /<*>,HDFS,0,Normal
Receiving block blk_5792489080791696128 src: /10.251.30.6:33145 dest: /10.251.30.6:50010,receiving block block_id src ip_addr num dest ip_addr num,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HDFS,0,Normal
Receiving block blk_1724757848743533110 src: /10.251.111.130:49851 dest: /10.251.111.130:50010,receiving block block_id src ip_addr num dest ip_addr num,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HDFS,0,Normal
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.110.8:50010 is added to blk_8015913224713045110 size 67108864,block hostname blockmap updated ip_addr num is added to block_id size num,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HDFS,0,Normal
Receiving block blk_-5623176793330377570 src: /10.251.75.228:53725 dest: /10.251.75.228:50010,receiving block block_id src ip_addr num dest ip_addr num,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HDFS,0,Normal
BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000590_0/part-00590. blk_-1727475099218615100,block hostname user root rand _temporary _task_ _ _m_ _ part num block_id,E7,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>,HDFS,0,Normal
PacketResponder 1 for block blk_5017373558217225674 terminating,packetresponder for block block_id terminating,E10,PacketResponder <*> for block blk_<*> terminating,HDFS,0,Normal
Received block blk_9212264480425680329 of size 67108864 from /10.251.123.1,received block block_id of size num from ip_addr,E11,Received block blk_<*> of size <*> from /<*>,HDFS,0,Normal
BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000742_0/part-00742. blk_-7878121102358435702,block hostname user root rand _temporary _task_ _ _m_ _ part num block_id,E7,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>,HDFS,0,Normal
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.111.130:50010 is added to blk_4568434182693165548 size 67108864,block hostname blockmap updated ip_addr num is added to block_id size num,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HDFS,0,Normal
Received block blk_-5704899712662113150 of size 67108864 from /10.251.91.229,received block block_id of size num from ip_addr,E11,Received block blk_<*> of size <*> from /<*>,HDFS,0,Normal
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.74.79:50010 is added to blk_-4794867979917102672 size 67108864,block hostname blockmap updated ip_addr num is added to block_id size num,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HDFS,0,Normal
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.38.197:50010 is added to blk_8763662564934652249 size 67108864,block hostname blockmap updated ip_addr num is added to block_id size num,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HDFS,0,Normal
Received block blk_-5861636720645142679 of size 67108864 from /10.251.70.211,received block block_id of size num from ip_addr,E11,Received block blk_<*> of size <*> from /<*>,HDFS,0,Normal
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.74.134:50010 is added to blk_7453815855294711849 size 67108864,block hostname blockmap updated ip_addr num is added to block_id size num,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HDFS,0,Normal
Receiving block blk_-28342503914935090 src: /10.251.123.132:57542 dest: /10.251.123.132:50010,receiving block block_id src ip_addr num dest ip_addr num,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HDFS,0,Normal
Received block blk_8291449241650212794 of size 67108864 from /10.251.89.155,received block block_id of size num from ip_addr,E11,Received block blk_<*> of size <*> from /<*>,HDFS,0,Normal
BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000487_0/part-00487. blk_-5319073033164653435,block hostname user root rand _temporary _task_ _ _m_ _ part num block_id,E7,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>,HDFS,0,Normal
Verification succeeded for blk_-4980916519894289629,verification succeeded for block_id,E14,Verification succeeded for blk_<*>,HDFS,0,Normal
Received block blk_-5974833545991408899 of size 67108864 from /10.251.31.180,received block block_id of size num from ip_addr,E11,Received block blk_<*> of size <*> from /<*>,HDFS,0,Normal
Receiving block blk_-5009020203888190378 src: /10.251.199.19:52622 dest: /10.251.199.19:50010,receiving block block_id src ip_addr num dest ip_addr num,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HDFS,0,Normal
Received block blk_6921674711959888070 of size 67108864 from /10.251.65.203,received block block_id of size num from ip_addr,E11,Received block blk_<*> of size <*> from /<*>,HDFS,0,Normal
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.7.244:50010 is added to blk_5165786360127153975 size 67108864,block hostname blockmap updated ip_addr num is added to block_id size num,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HDFS,0,Normal
Receiving block blk_2937758977269298350 src: /10.251.194.129:37476 dest: /10.251.194.129:50010,receiving block block_id src ip_addr num dest ip_addr num,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HDFS,0,Normal
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.6.191:50010 is added to blk_673825774073966710 size 67108864,block hostname blockmap updated ip_addr num is added to block_id size num,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HDFS,0,Normal
Received block blk_-7526945448667194862 of size 67108864 from /10.251.203.80,received block block_id of size num from ip_addr,E11,Received block blk_<*> of size <*> from /<*>,HDFS,0,Normal
Received block blk_-2094397855762091248 of size 67108864 from /10.251.126.83,received block block_id of size num from ip_addr,E11,Received block blk_<*> of size <*> from /<*>,HDFS,0,Normal
Received block blk_-8523968015014407246 of size 67108864 from /10.251.214.225,received block block_id of size num from ip_addr,E11,Received block blk_<*> of size <*> from /<*>,HDFS,0,Normal
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.89.155:50010 is added to blk_8181993091797661153 size 67108864,block hostname blockmap updated ip_addr num is added to block_id size num,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HDFS,0,Normal
Receiving block blk_-6276023454199613372 src: /10.251.65.237:34085 dest: /10.251.65.237:50010,receiving block block_id src ip_addr num dest ip_addr num,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HDFS,0,Normal
Received block blk_4755566011267050000 of size 67108864 from /10.251.75.79,received block block_id of size num from ip_addr,E11,Received block blk_<*> of size <*> from /<*>,HDFS,0,Normal
Received block blk_-3909548841543565741 of size 3542967 from /10.251.195.33,received block block_id of size num from ip_addr,E11,Received block blk_<*> of size <*> from /<*>,HDFS,0,Normal
Receiving block blk_-6809181994368905854 src: /10.250.17.225:51754 dest: /10.250.17.225:50010,receiving block block_id src ip_addr num dest ip_addr num,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HDFS,0,Normal
Received block blk_8829027411458566099 of size 67108864 from /10.251.38.214,received block block_id of size num from ip_addr,E11,Received block blk_<*> of size <*> from /<*>,HDFS,0,Normal
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.106.50:50010 is added to blk_-29548654251973735 size 67108864,block hostname blockmap updated ip_addr num is added to block_id size num,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HDFS,0,Normal
PacketResponder 1 for block blk_-5073870177832699716 terminating,packetresponder for block block_id terminating,E10,PacketResponder <*> for block blk_<*> terminating,HDFS,0,Normal
Received block blk_-8241093737585222406 of size 67108864 from /10.250.5.161,received block block_id of size num from ip_addr,E11,Received block blk_<*> of size <*> from /<*>,HDFS,0,Normal
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.111.228:50010 is added to blk_-2480595760294717232 size 67108864,block hostname blockmap updated ip_addr num is added to block_id size num,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HDFS,0,Normal
PacketResponder 0 for block blk_7791237942696729620 terminating,packetresponder for block block_id terminating,E10,PacketResponder <*> for block blk_<*> terminating,HDFS,0,Normal
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.202.134:50010 is added to blk_2113880130496815041 size 3549917,block hostname blockmap updated ip_addr num is added to block_id size num,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HDFS,0,Normal
Received block blk_1064470652608359218 of size 67108864 from /10.251.39.242,received block block_id of size num from ip_addr,E11,Received block blk_<*> of size <*> from /<*>,HDFS,0,Normal
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.110.8:50010 is added to blk_-1661553043410372067 size 67108864,block hostname blockmap updated ip_addr num is added to block_id size num,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HDFS,0,Normal
PacketResponder 1 for block blk_-1527267659500322006 terminating,packetresponder for block block_id terminating,E10,PacketResponder <*> for block blk_<*> terminating,HDFS,0,Normal
PacketResponder 1 for block blk_4886940526690879848 terminating,packetresponder for block block_id terminating,E10,PacketResponder <*> for block blk_<*> terminating,HDFS,0,Normal
Received block blk_-2452477352812192142 of size 67108864 from /10.250.7.244,received block block_id of size num from ip_addr,E11,Received block blk_<*> of size <*> from /<*>,HDFS,0,Normal
PacketResponder 0 for block blk_-4229375751333894621 terminating,packetresponder for block block_id terminating,E10,PacketResponder <*> for block blk_<*> terminating,HDFS,0,Normal
Receiving block blk_-774267833966018354 src: /10.251.38.53:51057 dest: /10.251.38.53:50010,receiving block block_id src ip_addr num dest ip_addr num,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HDFS,0,Normal
BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_001648_0/part-01648. blk_2513940824125131775,block hostname user root rand _temporary _task_ _ _m_ _ part num block_id,E7,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>,HDFS,0,Normal
BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_001866_0/part-01866. blk_-1282453782148343691,block hostname user root rand _temporary _task_ _ _m_ _ part num block_id,E7,BLOCK* NameSystem.allocateBlock: /<*>/part-<*>. blk_<*>,HDFS,0,Normal
Received block blk_-518701095493827363 of size 67108864 from /10.251.214.67,received block block_id of size num from ip_addr,E11,Received block blk_<*> of size <*> from /<*>,HDFS,0,Normal
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.106.50:50010 is added to blk_-2530087534157630851 size 67108864,block hostname blockmap updated ip_addr num is added to block_id size num,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HDFS,0,Normal
BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.198.196:50010 is added to blk_427714267500527780 size 67108864,block hostname blockmap updated ip_addr num is added to block_id size num,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>,HDFS,0,Normal
Received block blk_-967145856473901804 of size 67108864 from /10.250.6.191,received block block_id of size num from ip_addr,E11,Received block blk_<*> of size <*> from /<*>,HDFS,0,Normal
Received block blk_8408125361497769001 of size 67108864 from /10.251.70.211,received block block_id of size num from ip_addr,E11,Received block blk_<*> of size <*> from /<*>,HDFS,0,Normal
Received block blk_-1614641487214609125 of size 67108864 from /10.251.193.175,received block block_id of size num from ip_addr,E11,Received block blk_<*> of size <*> from /<*>,HDFS,0,Normal
Received block blk_7577595658377008671 of size 67108864 from /10.251.71.97,received block block_id of size num from ip_addr,E11,Received block blk_<*> of size <*> from /<*>,HDFS,0,Normal
Received block blk_3777400576053320362 of size 67108864 from /10.251.31.5,received block block_id of size num from ip_addr,E11,Received block blk_<*> of size <*> from /<*>,HDFS,0,Normal
PacketResponder 0 for block blk_-5852844080027817147 terminating,packetresponder for block block_id terminating,E10,PacketResponder <*> for block blk_<*> terminating,HDFS,0,Normal
Received block blk_-2129171714384027465 of size 67108864 from /10.251.75.228,received block block_id of size num from ip_addr,E11,Received block blk_<*> of size <*> from /<*>,HDFS,0,Normal
Verification succeeded for blk_-2827716238972737794,verification succeeded for block_id,E14,Verification succeeded for blk_<*>,HDFS,0,Normal
Receiving block blk_-3509323198988774369 src: /10.250.6.214:52922 dest: /10.250.6.214:50010,receiving block block_id src ip_addr num dest ip_addr num,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>,HDFS,0,Normal
PacketResponder 0 for block blk_9093049293972551787 terminating,packetresponder for block block_id terminating,E10,PacketResponder <*> for block blk_<*> terminating,HDFS,0,Normal
Deleting block blk_1781953582842324563 file /mnt/hadoop/dfs/data/current/subdir5/blk_1781953582842324563,deleting block block_id file mnt hadoop dfs data current subdir block_id,E9,Deleting block blk_<*> file /<*>/blk_<*>,HDFS,0,Normal
10.251.194.213:50010 Served block blk_-7724713468912166542 to /10.251.203.80,ip_addr num served block block_id to ip_addr,E1,<*>:<*> Served block blk_<*> to /<*>,HDFS,0,Normal
10.251.91.229:50010 Served block blk_-3358448553918665902 to /10.251.91.229,ip_addr num served block block_id to ip_addr,E1,<*>:<*> Served block blk_<*> to /<*>,HDFS,0,Normal
10.251.39.192:50010 Served block blk_-5341992729755584578 to /10.251.39.192,ip_addr num served block block_id to ip_addr,E1,<*>:<*> Served block blk_<*> to /<*>,HDFS,0,Normal
10.250.5.237:50010 Served block blk_3166960787499091856 to /10.251.43.147,ip_addr num served block block_id to ip_addr,E1,<*>:<*> Served block blk_<*> to /<*>,HDFS,0,Normal
